NLC," Entries Standard  ",Entries Reduced,"Entries Seasons ",Exits Standard," Exits Reduced",Exits Seasons,Total Entries and Exits
5131,97651,230854,717520,49260,247779,717520,2060584
3813,11745,17507,14504,12945,17509,14504,88714
3801,5581,14876,4876,6099,14883,4876,51191
3803,6494,10720,4317,6503,10722,4317,43073
3982,18871,48845,11993,18384,48859,11993,158945
8976,226572,488956,70109,206712,488112,70109,1550570
9090,10455,13450,15140,11326,13453,15140,78964
4435,4171,6220,5,4132,6405,5,20938
4440,194,46,0,223,50,0,513
3602,30293,74143,12625,32953,74001,12625,236640
2448,8151,24484,4511,9539,24639,4511,75835
4303,21716,71900,465,20285,71193,465,186024
2552,32290,49722,10028,36191,49986,10028,188245
8600,128,60,0,87,61,0,336
8601,638,617,0,713,612,0,2580
8602,153,215,0,239,215,0,822
7662,274,39,234,159,39,234,979
7286,12987,4267,2611,15558,4264,2611,42298
4529,32861,33236,640,31142,33047,640,131566
2287,1841,838,886,1901,844,886,7196
1404,22755,38877,17650,23190,40212,17650,160334
3000,12085,17224,20591,10822,20083,20591,101396
1036,8539,10375,66,9204,10370,66,38620
9310,1618,1101,552,2023,1101,552,6947
5045,230,259,219,392,386,219,1705
5550,27044,37765,47222,24442,41386,47222,225081
5160,1721,5482,14687,1513,6389,14687,44479
2939,3023,3099,1005,3647,3104,1005,14883
2641,22077,10496,10555,23267,10509,10555,87459
8353,17379,19355,8514,16003,18868,8514,88633
2255,27372,32284,1467,32194,40297,1467,135081
2350,38900,72760,1285,34976,72974,1285,222180
2125,43094,66873,1792,44793,77726,1792,236070
9695,12473,7913,736,12857,7913,736,42628
9759,135679,126336,82783,140039,126323,82783,693943
5132,43024,45984,219889,21926,55381,219889,606093
4614,9691,5812,5475,10276,5904,5475,42633
2760,29170,28281,12096,28227,28301,12096,138171
3145,4989,3361,12485,7513,3558,12485,44391
5623,100521,218490,107553,93321,228148,107553,855586
5280,5354,11620,11335,11048,13151,11335,63843
6025,41456,42368,126989,31694,42650,126989,412146
9905,6405,2049,636,8435,2050,636,20211
9861,64499,61183,12780,62318,61230,12780,274790
1805,21143,33077,4596,22110,33088,4596,118610
7520,6171,3910,3744,6992,3914,3744,28475
2214,2985,2624,564,3263,3180,564,13180
8605,593,437,0,752,439,0,2221
7787,6695,24255,5036,7592,24250,5036,72864
6847,2095,10524,12971,2305,10614,12971,51480
1223,12767,5618,1545,14419,5755,1545,41649
6869,5222,3902,19014,5772,8334,19014,61258
6532,1339,865,408,1255,868,408,5143
8606,20,9,0,60,9,0,98
5544,36865,73010,80135,33256,76888,80135,380289
2806,34426,56257,13775,37700,56813,13775,212746
1198,20937,6297,720,27924,6357,720,62955
1678,6317,4417,1202,6661,4421,1202,24220
5250,1202,10048,1387,1616,11716,1387,27356
4236,1716,1970,275,1761,2097,275,8094
6358,970,76,707,1767,76,707,4303
9965,31819,12775,25755,32121,12708,114,115292
5510,47737,131972,111886,47180,137910,111886,588571
5397,20017,29605,47758,9019,35867,47758,190024
6909,1122,979,1006,4987,1966,1006,11066
5267,21701,100439,60150,19382,104512,60150,366334
9451,5369,10646,1538,6305,10660,1538,36056
9972,123733,67170,49865,127348,67170,49865,485151
2662,8338,6384,330,8375,6460,330,30217
2052,19219,5192,7503,19940,5259,7503,64616
5003,1452,3962,3389,1815,5570,3389,19577
3109,644,1280,1123,1662,1365,1123,7197
2396,8501,19002,10741,9589,20288,10741,78862
1430,22050,50428,42290,22213,50860,42290,230131
9079,40389,62752,15887,39444,62892,15887,237251
8613,743,433,0,809,439,0,2424
9962,813,190,0,863,191,13517,15574
9453,16535,10566,15,21010,10617,15,58758
9569,23676,23209,13121,24160,23213,13121,120500
9455,2341,2122,311,3011,2130,311,10226
2960,150,169,50,407,94,50,920
9961,177453,66036,13517,70454,65312,2761,395533
8821,2702,666,0,2990,664,0,7022
6171,14616,24917,53211,17668,27612,53211,191235
2054,1982,328,865,2444,329,865,6813
1963,17060,16714,5055,19282,16804,5055,79970
8045,413,593,87,529,595,87,2304
9963,1709,793,114,1959,797,0,5372
5251,9950,53344,29209,9516,55568,29209,186796
5666,82463,167332,99012,76018,175021,99012,698858
3003,455,325,365,473,327,365,2310
5641,21342,41197,25998,19277,47803,25998,181615
5547,27264,52397,77123,24704,57236,77123,315847
2941,8724,4948,13829,10064,4997,13829,56391
4700,3246,8629,3332,3588,8687,3332,30814
9953,8109,6809,794,10091,6811,184985,217599
5004,113771,340518,405120,114633,330952,405120,1710114
5667,47416,84457,121235,40472,88665,121235,503480
2850,1110,1276,156,1194,1278,156,5170
5347,49098,107524,168873,37681,123424,168873,655473
2790,20040,42109,14795,19457,45399,14795,156595
5398,297,770,1076,401,897,1076,4517
6083,4988,5716,25838,6106,6909,25838,75395
1953,3949,17759,10527,3606,19509,10527,65877
6233,9423,212,2130,8544,213,2130,22652
2095,5830,2463,1526,5817,2458,1526,19620
1380,1807,5185,3920,1921,5191,3920,21944
1004,23946,40671,303,27441,40866,303,133530
1074,2993,984,319,2808,1060,319,8483
2584,19702,43573,24536,17071,47374,24536,176792
8608,63,53,0,87,56,0,259
1624,11977,1188,1199,13661,1206,1199,30430
6734,3,6,0,5,6,0,20
7367,9494,8781,2425,9904,8799,2425,41828
9457,5248,2679,333,5740,2680,333,17013
7017,38337,81037,200970,36774,89420,200970,647508
2215,16235,15011,11141,17049,15073,11141,85650
8610,9053,17542,11,9669,17586,11,53872
3265,1443,1491,159,1692,1496,159,6440
3200,14511,1563,4551,14294,1572,4551,41042
5714,8636,64899,30104,8352,66338,30104,208433
1492,70423,171331,109623,61411,172887,109623,695298
5162,17319,14835,9750,16218,15010,9750,82882
5197,8748,18870,9880,7938,20166,9880,75482
9463,239229,260664,76271,230122,260657,76271,1143214
2187,16060,15099,3190,15598,15120,3190,68257
4186,3866,5093,1928,4872,5094,1928,22781
5681,10711,14600,14664,13469,16906,14664,85014
8552,43258,25368,2803,51118,24189,2803,149539
9763,12624,10712,3403,15626,10713,3403,56481
5492,4219,10887,23175,4453,13892,23175,79801
6084,19969,35498,56976,21553,38381,56976,229353
5399,172348,315102,335390,135847,329861,335390,1623938
9862,69826,70170,51479,68105,70139,51479,381198
9013,18,53,10,27,53,10,171
2561,23221,5361,4060,22737,5375,4060,64814
2820,4234,3101,170,4034,3102,170,14811
8839,844,114,0,965,113,0,2036
4502,105781,156970,72921,101377,157481,72921,667451
2471,41083,195460,31430,38009,194155,31430,531567
2238,12753,14833,15,15310,20306,15,63232
