NLC,"Entries  Standard  ",Entries Reduced,"Entries Seasons ",Exits Standard," Exits Reduced",Exits Seasons,Total Entries and Exits
5131,124797.051,247995.372,800949.5965,67618.876,263111.532,780112.5965,2284585.024
3813,11945,16990,14425,13130,16995,14425,87910
3803,5985,11439,3871.5,6285,11438,3871.5,42890
3801,4907,14371,5250,5414,14361,5250,49553
3982,20192,50561,18809.5,19678,50630,18809.5,178680
8976,222955,499124,82216,205589,498704,82216,1590804
9090,11857,15504,16048,12970,15513,16048,87940
4435,4291,5076,5,4438,5609,5,19424
4440,190,21,0,191,24,0,426
3602,28588,72653,15316.5,31384,72444,15316.5,235702
2448,8543,24364,3358.5,10284,24531,3358.5,74439
4303,20867,78483,984.5,19493,77218,984.5,198030
2552,33456,49010,8841.5,37269,49213,8841.5,186631
8600,109,40,0,109,40,0,298
8601,554,490,0,594,486,0,2124
8602,157,180,0,217,180,0,734
7662,295,21,445.5,223,22,445.5,1452
7286,7728,10541,2229,9623,11672,2229,44022
4529,34338,33845,2597,31815,33807,2597,138999
2287,1572,848,521.5,1610,843,521.5,5916
1404,39914.407,66284.575,143746.2005,63610.634,65968.038,143746.2005,523270.055
3000,14438.37,20480.694,134787.644,10702.616,23272.035,131648.644,335330.003
1036,6832,8957,814.5,7954,8955,814.5,34327
9310,1418,1166,483,1937,1165,483,6652
5045,1,0,702.977,1,0,702.977,1407.954
5550,27306,37699,39636.5,25929,40804,39518,210892.5
5160,2198,6944,18291,2190,7784,18291,55698
2939,3318,3013,493,3883,3019,493,14219
2641,21477,9834,9423.5,21907,9860,9423.5,81925
8353,31947,31689,7352,27001,30618,7352,135959
2255,30449,39261,1344.5,32100,37521,1344.5,142020
2350,42981,78010,850.5,37347,75662,850.5,235701
2125,46233,76398,1586.5,43857,75118,1586.5,244779
9695,12254,8874,1572,12940,8874,1572,46086
9759,137109,125648,136458.5,139918,125655,136458.5,801247
5132,47675.017,46818,227197.618,27133.074,54373,226957.618,630154.327
4614,7626,6754,9261.5,7773,7072,9261.5,47748
2760,31323,25885,10815,30761,25892,10815,135491
3145,6047,4308,10918,8849,4531,10918,45571
5623,107501,230751,120361,100242,240828,120243,919926
5280,10617,13400,12980.5,12635,15430,12980.5,78043
6025,48228.655,47696.617,147932.99,37458.447,48132.794,146681.49,476130.993
9905,7074,2993,1205.5,10599,2995,1205.5,26072
9861,63821,64690,41557,60901,64731,41557,337257
1805,20937,34344,5839,22398,34623,5839,123980
7520,7712,3963,3887,8525,3964,3887,31938
2214,2056,2184,540.5,2726,2497,540.5,10544
8605,764,391,27.5,675,390,27.5,2275
7787,7161,25843,8389.5,8382,25791,8389.5,83956
6847,1952,10170,9987,2429,10244,9987,44769
1223,12398,5954,1705,14164,6064,1705,41990
6869,1187,3648,18559,1693,4953,18559,48599
6532,1326,765,731.5,1361,766,731.5,5681
8606,23,2,0,34,2,0,61
5544,37950,73258,85100,34386,78476,85100,394270
2806,35079,51668,12872.5,39239,52211,12872.5,203942
1198,20389,7017,8361,28851,7131,8361,80110
1678,6293,4835,1279.5,5858,4846,1279.5,24391
5250,1769,10599,1908,2225,11957,1908,30366
4236,2047,2186,0,2135,2246,0,8614
6358,1012,102,243.5,1461,103,243.5,3165
9965,32941,13747,34055,34732,13517,34055,163047
5510,54841,136074,122565,54516,141617,122565,632178
5397,20427.017,33007.076,73882.1375,11447.481,38439.076,73594.1375,250796.925
6909,1148.054,896,1484.635,6030.298,2093,1484.635,13136.622
5267,24492,100533,51810,22288,103887,51810,354820
9451,2393,21041,1082,2758,21210,1082,49566
9972,116824,65764,71966.5,121163,65764,71966.5,513448
2662,8632,6110,504.5,8563,6203,504.5,30517
2052,19152,5421,4953.5,19903,5434,4953.5,59817
5003,1626,3557,3027,2908,3885,3027,18030
3109,723,1157,1206.5,1700,1238,1206.5,7231
2396,8819,21446,12565,9396,22832,12565,87623
1430,24301,54130,41897,24971,56920,41897,244116
9079,42954,64240,14856,39892,64371,14856,241169
8613,697,361,0,661,358,0,2077
