" NLC Code"," Entries Standard"," Entries Reduced"," Entries Season",Total Entries," Exits Standard"," Exits Reduced"," Exits Season",Total Exits," All Entries & Exits",Interchanges
5131,151357.997,225338.255,822099.7965,1198796.0485,109311.678,225735.496,822099.7965,1157146.9705,2355943.019,
3813,16697,18229,21252,56178,17129,18253,21252,56634,112812,
3803,6929,12015,4662.5,23606.5,7121,12027,4662.5,23810.5,47417,
3801,6238,15337,6380.5,27955.5,6859,15325,6380.5,28564.5,56520,
3982,25799,55850,29018.5,110667.5,24433,55867,29018.5,109318.5,219986,
8976,215629,512566,85120,813315,198409,512407,85120,795936,1609251,139845
9090,13242,19395,14674,47311,13847,19388,14674,47909,95220,
4435,3516,6799,0,10315,3734,7155,0,10889,21204,
4440,172,29,0,201,271,44,0,315,516,
3602,30067,79591,17843.5,127501.5,32662,79334,17843.5,129839.5,257341,
2448,9104,24354,5266.5,38724.5,11353,24433,5266.5,41052.5,79777,
4303,23241,84178,924.5,108343.5,21489,83134,924.5,105547.5,213891,1159
2552,35599,53354,11573,100526,39805,53528,11573,104906,205432,
8600,120,32,0,152,94,32,0,126,278,
8601,542,525,0,1067,623,524,0,1147,2214,
8602,100,120,0,220,185,120,0,305,525,
7662,269,24,552.5,845.5,174,24,552.5,750.5,1596,
7286,8088,13333,2213.5,23634.5,10424,14932,2213.5,27569.5,51204,
4529,32762,32789,1095,66646,32201,32810,1095,66106,132752,
2287,1491,1196,566.5,3253.5,1547,1195,566.5,3308.5,6562,
1404,44093.034,73548.131,170125.812,287766.977,68239.561,71909.971,170125.812,310275.344,598042.321,
3000,16935.474,22322.029,136697.719,175955.222,13722.084,24762.441,136697.719,175182.244,351137.466,
1036,6548,9621,0,16169,6738,9660,0,16398,32567,
9310,1159,1238,796,3193,1612,1237,796,3645,6838,
5550,34209,40107,52317,126633,34398,41780,52317,128495,255128,
5160,2999,6110,19320.5,28429.5,3976,6275,19320.5,29571.5,58001,
2939,2850,2821,985.5,6656.5,3293,2831,985.5,7109.5,13766,
2641,23990,10736,11508,46234,23963,10751,11508,46222,92456,
8353,40013,36356,8262.5,84631.5,33697,35297,8262.5,77256.5,161888,
2255,31731,41888,1256.5,74875.5,34322,39736,1256.5,75314.5,150190,
2350,46085,82988,1389.5,130462.5,43652,79430,1389.5,124471.5,254934,
2125,53398,78714,1825,133937,51028,80659,1825,133512,267449,
9695,12397,9287,1787.5,23471.5,13688,9293,1787.5,24768.5,48240,
9759,135480,130431,154419.5,420330.5,141292,130433,154419.5,426144.5,846475,
5132,54754.046,43509.096,232030.605,330293.747,39493.045,44340.096,232030.605,315863.746,646157.493,
4614,7485,6634,4252.5,18371.5,7766,7074,4252.5,19092.5,37464,
2760,28341,23752,11422,63515,28042,23795,11422,63259,126774,
3145,7309,5089,9660.5,22058.5,8696,5227,9660.5,23583.5,45642,
5623,117932,231627,126047.5,475606.5,112476,238962,126047.5,477485.5,953092,84052
5280,12597,14913,14397,41907,13022,16218,14397,43637,85544,
6025,56102.801,50692.152,157452.814,264247.767,42850.663,51090.828,157452.814,251394.305,515642.072,3728
9905,16328,10215,4309,30852,19912,10225,4309,34446,65298,
9861,60384,64325,43056,167765,60655,64327,43056,168038,335803,
1805,24076,36509,7073.5,67658.5,25344,36762,7073.5,69179.5,136838,
7520,9513,4187,4928.5,18628.5,9471,4193,4928.5,18592.5,37221,
2214,2357,2331,778,5466,2978,2559,778,6315,11781,
8605,642,326,0,968,623,326,0,949,1917,
7787,9163,28503,8114.5,45780.5,9932,28478,8114.5,46524.5,92305,626
6847,1771,9027,11972,22770,2463,9108,11972,23543,46313,
1223,10235,5302,1870,17407,11772,5495,1870,19137,36544,
