" NLC"," Entries Standard"," Entries Reduced"," Entries Season",Total Entries," Exits Standard"," Exits Reduced"," Exits Season",Total Exits," All Entries & Exits"," Interchanges"
5131,151450,197964,869610,1219024,113409,198173,869610,1181192,2400216,
3813,16302,18170,23427,57899,16084,18257,23427,57768,115667,
3803,9151,17257,4513,30921,9489,17261,4513,31263,62184,
3801,7328,19414,9031,35773,8093,19393,9031,36517,72290,
3982,27852,80080,44717,152649,25310,80184,44717,150211,302859,
8976,239592,571070,88157,898819,205440,570292,88157,863889,1762708,128303
9090,13821,18700,14931,47452,14767,18700,14931,48398,95850,
4435,4673,5427,78,10178,5090,5695,78,10863,21040,
4440,160,32,0,192,226,55,0,281,473,
3602,32218,78861,14746,125825,35548,78887,14746,129181,255005,
2448,9511,20870,3850,34231,11330,20977,3850,36157,70387,
4303,24890,82026,1064,107980,22096,80099,1064,103259,211239,1467
2552,40249,44749,10171,95169,44655,45307,10171,100133,195302,
8600,52,18,0,70,75,18,0,93,163,
8601,698,619,0,1317,666,615,0,1281,2598,
8602,107,157,0,264,165,157,0,322,586,
7662,141,9,103,253,104,11,103,218,471,
7286,9039,13186,2521,24746,11693,14629,2521,28843,53588,
4529,36606,31684,957,69247,34297,31631,957,66885,136131,
2287,1048,409,250,1707,1104,412,250,1766,3473,
1404,53628,75831,180867,310326,79115,74676,180867,334659,644984,
3000,22598,20340,133124,176062,20608,20529,133124,174260,350323,
1036,5812,7499,246,13557,7469,7512,246,15227,28784,
9310,1359,1276,869,3504,1710,1275,869,3854,7357,
5550,32000,27556,38028,97584,29929,27723,38028,95680,193263,
5160,3532,4824,15992,24348,4287,4805,15992,25084,49431,
2939,3251,2195,1386,6832,3934,2200,1386,7520,14351,
2641,24147,10875,11281,46303,24520,10926,11281,46727,93030,
8353,27544,27809,6202,61555,24087,27151,6202,57440,118995,
2255,35810,29541,783,66134,36798,30009,783,67590,133724,
2350,42004,54621,1117,97742,39262,52347,1117,92726,190467,
2125,58870,62548,1595,123013,56967,61304,1595,119866,242879,
9695,9713,7956,1530,19199,9348,7957,1530,18835,38034,
9759,133066,128181,158159,419406,138428,128179,158159,424766,844172,
5132,49805,42714,258848,351368,47831,42885,258848,349565,700933,
4614,12121,7051,4887,24059,12966,7061,4887,24914,48972,
2760,26699,21492,10581,58772,30157,21541,10581,62279,121050,
3145,7303,4706,9799,21808,7846,4865,9799,22510,44317,
