" NLC Code"," Entries Standard"," Entries Reduced"," Entries Season",Total Entries," Exits Standard"," Exits Reduced"," Exits Season",Total Exits," All Entries & Exits 0405",Interchanges
5598,5245660.01,9994030.74,15887448.46,31127139.21,5520559.83,9853781.3,15887448.46,31261789.59,62388929,3953885
5355,1415494.343,1956348.289,3901250.654,7273093.286,1534750.918,2030526.089,3901250.654,7466527.661,14739621,3912974
8487,2659598,3899559,805476.49,7364633.49,2729339,3834054,805476.49,7368869.49,14733503,1527873
9328,1773099,3649170,1650679.44,7072948.44,1788431,3707713,1650679.44,7146823.44,14219772,617653
2246,2302849,4111712,100841.44,6515402.44,2797499,4121457,100841.44,7019797.44,13535200,268805
3149,1547219,2960999,2091713.255,6599931.255,1645135,2960247,2091713.255,6697095.255,13297027,2267360
5595,1401646.187,1596009.76,3125824.869,6123480.816,1711482.09,1589246.752,3125824.869,6426553.711,12550035,8682661
5578,1417778.378,1476073.415,3323275.878,6217127.671,1074885.671,1477151.222,3323275.878,5875312.771,12092440,445721
5268,801347,3008947.74,1805591.186,5615885.926,908556,2965047.36,1805591.186,5679194.546,11295080,1064696
5416,2139217,1448963,526997.81,4115177.81,2022339,1312104,526997.81,3861440.81,7976619,858092
5597,364482.4264,801745.1292,2830532.358,3996759.9136,324405.3332,800750.0475,2830532.358,3955687.7387,7952448,
6969,593877.2841,698466.1615,2703761.218,3996104.6636,514539.2416,700014.2992,2703761.218,3918314.7588,7914419,365552
5112,371878.99,602161.96,2857044.882,3831085.832,502376.02,592167.49,2857044.882,3951588.392,7782674,377728
3899,908623,2266362,711084.125,3886069.125,886253,2259874,711084.125,3857211.125,7743280,660555
1427,711734.47,1539088,1648368.882,3899191.352,652956.3,1515295.97,1648368.882,3816621.152,7715813,1519822
5570,990505.2648,1096758.786,1708057.258,3795321.3088,802716.4227,1093719.977,1708057.258,3604493.6577,7399815,1358504
6005,435164.19,488897.41,2535627.605,3459689.205,651708.61,488212.9,2535627.605,3675549.115,7135238,154117
1475,678799,1333834,1498153.885,3510786.885,637860,1302562,1498153.885,3438575.885,6949363,504077
6836,490144,874952,1968661.345,3333757.345,521043,874781,1968661.345,3364485.345,6698243,24520
