" NLC Code"," Entries Standard"," Entries Reduced"," Entries Season",Total Entries," Exits Standard"," Exits Reduced"," Exits Season",Total Exits," All Entries & Exits 0506",All Entires & Exits 0405,05/06 Interchanges
5131,154989.4679,202041.8498,695616.56184,1052647.87954,139552.2312,202157.8898,695616.56184,1037326.68284,2089974.5624,2201541,
3813,17130,14432,36125.365,67687.365,18308,14428,36125.365,68861.365,136548.73,134191,
3803,17466,30267,10354.265,58087.265,16123,30268,10354.265,56745.265,114832.53,112811,
3801,9478,20779,10925.525,41182.525,9322,20778,10925.525,41025.525,82208.05,92256,
3982,64343,105409,71145.005,240897.005,48242,105391,71145.005,224778.005,465675.01,464026,
8976,273582.5,665506,124926.585,1064015.085,252189.5,666724,124926.585,1043840.085,2107855.17,1931973,201417
9090,14017,24832,16852.9,55701.9,13997,23028,16852.9,53877.9,109579.8,112941,
4435,2104,7895,36.05,10035.05,2387,8003,36.05,10426.05,20461.1,23299,
4440,70,398,0,468,170,389,0,559,1027,1038,
3602,39450,80619,20963.185,141032.185,41452,80870,20963.185,143285.185,284317.37,279080,
2448,8003,16241,3509.28,27753.28,10593,16387,3509.28,30489.28,58242.56,59504,
4303,21538,107477,1357.975,130372.975,17796,104972,1357.975,124125.975,254498.95,241351,154
2552,55354,44347,10037.73,109738.73,59965,44711,10037.73,114713.73,224452.46,216059,
8600,96,13,10.3,119.3,55,13,10.3,78.3,197.6,192,
8601,668,569,0,1237,677,557,0,1234,2471,2379,
8602,121,141,0,262,187,144,0,331,593,691,
7662,448,11,247.2,706.2,173,11,247.2,431.2,1137.4,917,
7286,8475,3200,2951.075,14626.075,9680,4692,2951.075,17323.075,31949.15,32504,
4529,36776,37523,392.05,74691.05,37011,37476,392.05,74879.05,149570.1,149101,
2287,1048,296,684.37,2028.37,1148,301,684.37,2133.37,4161.74,2709,
1404,74010.6156,44242.7312,92020.127807,210273.474607,69657.8561,44085.736,92020.127807,205763.719907,416037.19451,358142,
3000,17408.2274,8905,16943.706817,43256.934217,18634.5415,9045.0901,16943.706817,44623.338417,87880.272634,115209,
1036,6360,7456,5.15,13821.15,7525,7433,5.15,14963.15,28784.3,26543,
9310,1891,1467,1615.075,4973.075,2063,1506,1615.075,5184.075,10157.15,8919,
5550,40517,32483,44546.33,117546.33,43827,32499,44546.33,120872.33,238418.66,213203,
5160,3529,6298,16580.435,26407.435,3687,7182,16580.435,27449.435,53856.87,53898,
2939,3508,2683,1703.775,7894.775,3908,2687,1703.775,8298.775,16193.55,12318,
2641,22578,7591,10991.16,41160.16,22417,7570,10991.16,40978.16,82138.32,79777,
8353,51233,32123,8122.97,91478.97,44366,31786,8122.97,84274.97,175753.94,176479,
2255,60349,57447,650.75,118446.75,64526,57439,650.75,122615.75,241062.5,179458,
2350,73117,84616,869.555,158602.555,78710,84729,869.555,164308.555,322911.11,289260,
2125,91846,94765,2417.22,189028.22,90716,94747,2417.22,187880.22,376908.44,388230,
9695,21644,15097,4219.4,40960.4,18286,15096,4219.4,37601.4,78561.8,62000,
9759,158929,138981,175922.375,473832.375,163612,138994,175922.375,478528.375,952360.75,909986,
5132,52657,43212,288763.36944,384632.36944,48283,43315,288763.36944,380361.36944,764993.73889,727796,
4614,11040,6664,6502.695,24206.695,12427,6711,6502.695,25640.695,49847.39,44289,
2760,22834,18182,11122.36,52138.36,26581,18223,11122.36,55926.36,108064.72,107650,
3145,6267,5955,10560.975,22782.975,6866,6087,10560.975,23513.975,46296.95,39027,
5623,168079,237585,189950.605,595614.605,171335,239167,189950.605,600452.605,1196067.21,1121499,106477
5280,14074,19476,24662.675,58212.675,14855,20689,24662.675,60206.675,118419.35,106528,
6025,60813.3669,60371.5968,225885.67023,347070.63393,59245.4434,60643.5968,225885.67023,345774.71043,692845.34435,609875,183923
9905,26953,16254,9039.815,52246.815,28016,16287,9039.815,53342.815,105589.63,83750,
9861,53757,57480,39783.245,151020.245,57162,57494,39783.245,154439.245,305459.49,276238,
1805,33724.5,33770,7948.72,75443.22,36405.5,34112,7948.72,78466.22,153909.44,150999,
7520,15646,8872,9783.395,34301.395,16471,8882,9783.395,35136.395,69437.79,51087,
2214,953,1044,331.325,2328.325,918,1115,331.325,2364.325,4692.65,11443,
8605,1670,353,374.6,2397.6,1678,3183,374.6,5235.6,7633.2,6950,
7787,17552,43447,20793.36,81792.36,19189,43274,20793.36,83256.36,165048.72,134902,461
6847,3856,5114,13210.255,22180.255,4583,5170,13210.255,22963.255,45143.51,49386,
1223,6810,3371,2238.975,12419.975,7866,3473,2238.975,13577.975,25997.95,22297,
6869,2625,2949,13673.4,19247.4,3339,3380,13673.4,20392.4,39639.8,43158,
6532,1304,1190,805.4,3299.4,1365,1190,805.4,3360.4,6659.8,5490,
8606,67,15,0,82,72,17,0,89,171,164,
5544,58066,80327,110198.255,248591.255,57524,81940,110198.255,249662.255,498253.51,480790,
2806,27561,45277,29641.215,102479.215,31035,46866,29641.215,107542.215,210021.43,193755,0
1198,26802,11580,2469.865,40851.865,39106,11616,2469.865,53191.865,94043.73,76963,
1678,3953,4423,860.025,9236.025,4497,4413,860.025,9770.025,19006.05,18655,
5250,2923,10075,3447.155,16445.155,4361,10042,3447.155,17850.155,34295.31,33103,
4236,1468,5732,0,7200,1542,5885,0,7427,14627,17463,
6358,1545,499,176.25,2220.25,1751,493,176.25,2420.25,4640.5,4468,
9965,71672,22994,80000.9,174666.9,63060,23000,80000.9,166060.9,340727.8,240667,
5510,108457,176285,206393.165,491135.165,103837,189624,206393.165,499854.165,990989.33,982255,689
5397,23307,27481,67272.94,118060.94,22512,27536,67272.94,117320.94,235381.88,239360,
6909,2085,1816,2336.64,6237.64,5196,2016,2336.64,9548.64,15786.28,17074,
5267,42291,134951,98798.6,276040.6,42360,136410,98798.6,277568.6,553609.2,526011,
9451,3180,52639,1631.275,57450.275,3559,53021,1631.275,58211.275,115661.55,113275,
9972,159881,110518,118751.27,389150.27,156619,110528,118751.27,385898.27,775048.54,662422,
2662,9717,3947,1252.35,14916.35,10512,3927,1252.35,15691.35,30607.7,26801,
2052,24068,4225,5107.76,33400.76,23711,4229,5107.76,33047.76,66448.52,62521,
5003,1833,2467,5669.47,9969.47,2598,2481,5669.47,10748.47,20717.94,21126,
3109,1699,1690,2042.975,5431.975,1921,1738,2042.975,5701.975,11133.95,10622,
2396,11962,51938,20690.195,84590.195,12889,53403,20690.195,86982.195,171572.39,146150,
1430,49777,61755,74359.74,185891.74,47923,63438,74359.74,185720.74,371612.48,325714,
9079,66190,93025,39126.195,198341.195,66418,93094,39126.195,198638.195,396979.39,373219,195
8613,1332,257,0,1589,1222,256,0,1478,3067,2297,
9962,933,224,0,1157,958,229,0,1187,2344,2309,
9453,22146,9691,15.45,31852.45,25664,9748,15.45,35427.45,67279.9,66073,
9569,31354,30547,32012.89,93913.89,30486,30541,32012.89,93039.89,186953.78,180767,580
9455,3103,3233,1481.855,7817.855,3936,3219,1481.855,8636.855,16454.71,13539,
2960,88,80,0,168,96,94,0,190,358,285,
9961,165875,79903,75871.22,321649.22,96854,79904,75871.22,252629.22,574278.44,467305,
8821,1658,1592,0,3250,2234,1602,0,3836,7086,7228,
6171,32668,45851,91610.61,170129.61,40496,47489,91610.61,179595.61,349725.22,327106,
2054,3315,356,1008.55,4679.55,3662,348,1008.55,5018.55,9698.1,9489,
1963,21419,14288,8503.745,44210.745,23798,14416,8503.745,46717.745,90928.49,89182,
