NLC,Entries Full,Entries Reduced,Entries Season,Entries Total,Exits Full,Exits Reduced,Exits Season,Exits Total,0607        Entries & Exits," 0607 Interchanges"
5131,175912,282323,954765,1413000,154350,282378,954765,1391493,2804493,0
3813,22090,17992,44321,84403,22752,17987,44321,85060,169463,0
3803,19579,29082,12787,61448,20139,29081,12787,62007,123455,0
3801,9840,16340,9560,35740,8663,16331,9560,34554,70294,0
3982,69922,111780,59893,241595,55833,111765,59893,227491,469086,0
8976,374610,618733,149970,1143313,366245,619344,149970,1135559,2278872,230788
9090,16487,25375,19471,61333,16684,22932,19471,59087,120420,0
4435,3724,7727,203,11654,3743,7765,203,11711,23365,0
4440,95,397,0,492,205,398,0,603,1095,0
3602,37454,86853,20170,144477,40074,87156,20170,147400,291877,0
2448,8109,18662,3247,30018,10863,18671,3247,32781,62799,0
4303,26877,102916,1525,131318,23869,100415,1525,125809,257127,384
2552,63928,40656,11389,115973,68277,41029,11389,120695,236668,0
8600,99,8,0,107,58,8,0,66,173,0
8601,971,453,0,1424,837,436,0,1273,2697,0
8602,166,76,0,242,223,75,0,298,540,0
7662,290,10,232,532,207,14,232,453,985,0
7286,9154,3474,2414,15042,11039,5027,2414,18480,33522,0
4529,37335,41985,171,79491,38411,42055,171,80637,160128,0
2287,2004,496,1854,4354,2189,516,1854,4559,8913,0
1404,83340,108507,481225,673072,71188,108531,481225,660944,1334016,0
3000,21904,20763,112213,154880,21695,20668,112213,154576,309456,0
1036,4648,4692,5,9345,5471,4686,5,10162,19507,0
9310,1947,1637,1578,5162,2084,1636,1578,5298,10460,0
5550,47191,37347,55863,140401,52727,37271,55863,145861,286262,0
5160,4238,7376,17398,29012,5095,7271,17398,29764,58776,0
2939,3627,3206,1159,7992,3679,3220,1159,8058,16050,0
2641,21916,8481,10988,41385,22428,8469,10988,41885,83270,0
8353,44980,26376,8458,79814,42180,26374,8458,77012,156826,0
2255,61621,59920,435,121976,64257,59915,435,124607,246583,0
2350,79810,79957,956,160723,86661,80083,956,167700,328423,0
2125,94364,110470,1473,206307,93909,110443,1473,205825,412132,0
9695,23123,16759,6566,46448,19448,16757,6566,42771,89219,0
9759,165445,137591,192620,495656,168306,137590,192620,498516,994172,0
5132,57075,58210,356462,471747,51264,58392,356462,466118,937865,0
4614,10373,8309,8265,26947,12551,8355,8265,29171,56118,0
2760,17033,16225,10643,43901,20127,16328,10643,47098,90999,0
3145,7589,6752,13492,27833,8456,7066,13491,29013,56846,0
5623,176879,252444,205423,634746,182659,254496,205423,642578,1277324,117398
5280,13353,23120,27505,63978,14052,23692,27505,65249,129227,0
6025,59943,94868,367150,521961,58227,95495,367150,520872,1042833,228180
9905,24697,15354,8126,48177,27604,15404,8126,51134,99311,0
9861,54026,54572,37493,146091,56413,54566,37493,148472,294563,0
1805,33868,33261,9702,76831,36497,33584,9702,79783,156614,0
7520,15343,7760,10332,33435,15923,7775,10332,34030,67465,0
8605,2343,396,530,3269,2680,3343,530,6553,9822,0
7787,17534,45791,21887,85212,19157,45914,21887,86958,172170,452
6847,3620,4566,15847,24033,4440,4646,15847,24933,48966,0
1223,9036,4009,2387,15432,10303,4094,2387,16784,32216,0
6869,2705,2745,11195,16645,3151,3051,11195,17397,34042,0
6532,1631,1557,633,3821,1412,1562,633,3607,7428,0
8606,101,7,0,108,106,8,0,114,222,0
5544,64276,93901,116087,274264,62601,95339,116087,274027,548291,0
2806,27923,45588,35958,109469,31135,46776,35958,113869,223338,0
1198,27486,11464,1722,40672,40137,11569,1722,53428,94100,0
1678,4151,3853,405,8409,4540,3868,405,8813,17222,0
5250,2928,11341,4157,18426,4455,11254,4157,19866,38292,0
0506,91368,152842,652679,896889,102962,153237,652679,908878,1805767,0
4236,1820,4249,0,6069,1893,4201,0,6094,12163,0
6358,1819,528,594,2941,2046,528,594,3168,6109,0
9965,76307,24077,93542,193926,70402,24076,93542,188020,381946,0
5510,97909,198275,207027,503211,89527,215133,207027,511687,1014898,677
5397,27109,38025,130426,195560,25348,38058,130426,193832,389392,0
6909,2004,1483,3337,6824,4468,1739,3337,9544,16368,0
5267,46032,147995,111615,305642,47439,149540,111615,308594,614236,0
9451,3402,41639,1531,46572,4530,41666,1531,47727,94299,0
9972,164008,116196,124193,404397,164164,116202,124193,404559,808956,0
2662,10049,4744,1952,16745,10805,4735,1952,17492,34237,0
2052,21305,5446,4139,30890,21396,5461,4139,30996,61886,0
5003,1982,2811,7658,12451,2723,2861,7658,13242,25693,0
3109,1558,1677,1840,5075,1793,1721,1840,5354,10429,0
2396,13238,59369,13363,85970,13728,61114,13363,88205,174175,0
1430,49408,72701,84874,206983,45847,76976,84874,207697,414680,0
9079,72944,83990,39639,196573,72951,84245,39639,196835,393408,96
8613,1828,177,0,2005,1784,175,0,1959,3964,0
9962,1030,197,0,1227,979,177,0,1156,2383,0
9453,22416,9353,176,31945,26839,9371,176,36386,68331,0
9569,31265,30641,33852,95758,31499,30673,33852,96024,191782,269
9455,3067,2872,1924,7863,3830,2907,1924,8661,16524,0
2960,59,107,0,166,129,161,0,290,456,0
9961,172840,86120,83983,342943,103640,86120,83983,273743,616686,0
8821,2047,1506,0,3553,2601,1482,0,4083,7636,0
6171,32988,56428,91033,180449,36692,61251,91033,188976,369425,0
2054,2651,379,761,3791,3048,384,761,4193,7984,0
1963,18672,17360,8111,44143,23135,17385,8111,48631,92774,0
8045,296,637,263,1196,324,637,263,1224,2420,0
9963,2772,3616,128,6516,2575,848,128,3551,10067,0
5251,18959,64316,40973,124248,21798,63417,40973,126188,250436,0
5666,157241,219735,126780,503756,154959,222720,126780,504459,1008215,237038
3003,717,112,79,908,657,125,79,861,1769,0
5641,33387,40734,45136,119257,31769,42701,45136,119606,238863,25435
5547,45892,56674,100113,202679,47186,57057,100113,204356,407035,112840
2941,8176,10546,4701,23423,9700,8704,4701,23105,46528,0
4700,14338,10761,6345,31444,15921,10882,6345,33148,64592,0
9953,9670,7578,3128,20376,11387,7578,3128,22093,42469,0
5667,85085,93540,169764,348389,86527,93292,169764,349583,697972,0
5004,249103,435114,621653,1305870,256983,421559,621653,1300195,2606065,452214
2850,715,1022,118,1855,905,1020,118,2043,3898,0
5347,101433,126683,234407,462523,101631,126671,234407,462709,925232,0
2790,36690,97279,36397,170366,30519,100298,36397,167214,337580,0
5398,1396,1920,3866,7182,1843,1841,3866,7550,14732,0
5906,7743,13159,13821,34723,8105,14626,13821,36552,71275,0
6083,10168,7082,36058,53308,10940,7707,36058,54705,108013,0
