NLC,Entries Full,Entries Reduced,Entries Season,Entries Total,Exits Full,Exits Reduced,Exits Season,Exits Total,0809 Entries & Exits,0809 Interchanges
5131,196743,348317,969528,1514588,196743,348317,969528,1514588,3029176,0
3813,24043,22754,49293,96090,24043,22754,49293,96090,192180,0
3801,29464,42031,25587,97082,29464,42031,25587,97082,194164,28775
3982,67730,117510,67762,253002,67730,117510,67762,253002,506004,0
8976,424687,681147,178571,1284405,424687,681147,178571,1284405,2568810,162526
9090,18696,28067,17274,64037,18696,28067,17274,64037,128074,0
4435,9774,2895,40,12709,9774,2895,40,12709,25418,0
4440,599,30,0,629,599,30,0,629,1258,0
3602,44257,90701,23035,157993,44257,90701,23035,157993,315986,0
2448,9262,21979,3907,35148,9262,21979,3907,35148,70296,0
4303,62526,73085,1094,136705,62526,73085,1094,136705,273410,0
2552,81108,37397,19321,137826,81108,37397,19321,137826,275652,0
8600,97,18,0,115,97,18,0,115,230,0
8601,1058,543,0,1601,1058,543,0,1601,3202,0
8602,232,91,0,323,232,91,0,323,646,0
7662,219,15,155,389,219,15,155,389,778,0
7286,9952,12442,2988,25382,9952,12442,2988,25382,50764,0
4529,39724,49261,102864,191849,39724,49261,102864,191849,383698,0
2287,2574,897,3769,7240,2574,897,3769,7240,14480,0
1404,33635,62010,460426,556071,33635,62010,460426,556071,1112142,0
3000,20587,20344,127123,168054,20587,20344,127123,168054,336108,0
1036,3689,5275,6066,15030,3689,5275,6066,15030,30060,0
9310,3148,2488,1870,7506,3148,2488,1870,7506,15012,0
5550,59394,45950,96020,201364,59394,45950,96020,201364,402728,0
5160,4110,7435,12956,24501,4110,7435,12956,24501,49002,0
2939,3850,3004,1258,8112,3850,3004,1258,8112,16224,0
2641,23737,10189,11637,45563,23737,10189,11637,45563,91126,0
8353,55553,29218,42222,126993,55553,29218,42222,126993,253986,0
2255,100167,182463,98051,380681,100167,182463,98051,380681,761362,0
2350,111734,276106,111379,499219,111734,276106,111379,499219,998438,0
2125,143925,334804,146973,625702,143925,334804,146973,625702,1251404,0
9695,24019,19146,10597,53762,24019,19146,10597,53762,107524,0
9759,168201,142173,223318,533692,168201,142173,223318,533692,1067384,0
5132,62735,65552,356393,484680,62735,65552,356393,484680,969360,0
4614,13243,11892,13473,38608,13243,11892,13473,38608,77216,0
2760,34686,32302,19370,86358,34686,32302,19370,86358,172716,0
3145,9434,9159,13807,32400,9434,9159,13807,32400,64800,0
5623,192743,287902,240090,720735,192743,287902,240090,720735,1441470,169470
5280,15781,25500,34183,75464,15781,25500,34183,75464,150928,0
6025,66906,100743,361207,528856,66906,100743,361207,528856,1057712,7346
9905,28884,19004,16349,64237,28884,19004,16349,64237,128474,0
9861,56353,55482,54816,166651,56353,55482,54816,166651,333302,0
1805,35637,30677,13111,79425,35637,30677,13111,79425,158850,0
7520,14325,8065,11089,33479,14325,8065,11089,33479,66958,0
9883,38913,101245,27669,167827,38913,101245,27669,167827,335654,0
8605,4357,1568,936,6861,4357,1568,936,6861,13722,0
7787,19231,57666,21714,98611,19231,57666,21714,98611,197222,452
6847,4707,4678,16059,25444,4707,4678,16059,25444,50888,0
1223,10774,4849,2048,17671,10774,4849,2048,17671,35342,0
