NLC,Entries Full,Entries Reduced,Entries Season,Entries Total,Exits Full,Exits Reduced,Exits Season,Exits Total,0910 Entries & Exits,0910 interchanges
5131,206421,344832,890181,1441434,206421,344832,890181,1441434,2882868,0
3813,27999,23580,44815,96394,27999,23580,44815,96394,192788,0
3801,36723,36922,24206,97851,36723,36922,24206,97851,195702,29324
3982,81352,103415,69143,253910,81352,103415,69143,253910,507820,0
8976,426608,712153,189746,1328507,426608,712153,189746,1328507,2657014,164299
9090,18721,28384,18832,65937,18721,28384,18832,65937,131874,0
4435,11310,2688,0,13998,11310,2688,0,13998,27996,0
4440,625,38,0,663,625,38,0,663,1326,0
3602,59241,88504,24498,172243,59241,88504,24498,172243,344486,0
2448,11830,20720,3005,35555,11830,20720,3005,35555,71110,0
4303,74689,74217,979,149885,74689,74217,979,149885,299770,0
2552,86268,33857,19596,139721,86268,33857,19596,139721,279442,0
8600,83,18,0,101,83,18,0,101,202,0
8601,1095,712,0,1807,1095,712,0,1807,3614,0
8602,276,113,0,389,276,113,0,389,778,0
7662,119,15,0,134,119,15,0,134,268,0
7286,8921,11429,2391,22741,8921,11429,2391,22741,45482,0
4529,39797,53084,99249,192130,39797,53084,99249,192130,384260,0
2287,2849,1222,2758,6829,2849,1222,2758,6829,13658,0
1404,56304,77729,344428,478461,56304,77729,344428,478461,956922,0
3000,14902,16641,100518,132061,14902,16641,100518,132061,264122,0
1036,3356,5479,5972,14807,3356,5479,5972,14807,29614,0
9310,4437,5911,2521,12869,4437,5911,2521,12869,25738,0
5550,58128,44839,92996,195963,58128,44839,92996,195963,391926,0
5160,3735,6132,12913,22780,3735,6132,12913,22780,45560,0
2939,3336,2929,544,6809,3336,2929,544,6809,13618,0
2641,23759,10882,12664,47305,23759,10882,12664,47305,94610,0
8353,53956,28064,40432,122452,53956,28064,40432,122452,244904,0
2255,113625,139822,95049,348496,113625,139822,95049,348496,696992,0
2350,139615,230191,107858,477664,139615,230191,107858,477664,955328,0
2125,193252,252249,141137,586638,193252,252249,141137,586638,1173276,0
9695,22425,18661,11159,52245,22425,18661,11159,52245,104490,0
9759,163813,147246,216396,527455,163813,147246,216396,527455,1054910,0
