NLC,Entries Full,Entries Reduced,Entries Season,Entries Total,Exits Full,Exits Reduced,Exits Season,Exits Total,1112 Entries & Exits,Interchanges
5131,274209,385670,907246,1567125,274209,385670,907246,1567125,3134250,
3813,48670,4840,48206,101716,48670,4840,48206,101716,203432,
3801,77668,5162,37205,120035,77668,5162,37205,120035,240070,35304.2641
3982,164322,17852,86597,268771,164322,17852,86597,268771,537542,
8976,500505,829684,255043,1585232,500505,829684,255043,1585232,3170464,197040.4757
9090,17111,28486,17403,63000,17111,28486,17403,63000,126000,
4435,12855,5493,0,18348,12855,5493,0,18348,36696,
4440,631,262,0,893,631,262,0,893,1786,
3602,92694,64040,28997,185731,92694,64040,28997,185731,371462,
2448,23145,15275,3824,42244,23145,15275,3824,42244,84488,
4303,67741,95046,350,163137,67741,95046,350,163137,326274,
2552,109357,38542,24934,172833,109357,38542,24934,172833,345666,
8600,57,24,0,81,57,24,0,81,162,
8601,1111,888,0,1999,1111,888,0,1999,3998,
8602,352,190,0,542,352,190,0,542,1084,
7662,81,15,0,96,81,15,0,96,192,
7286,9195,13056,4047,26298,9195,13056,4047,26298,52596,
4529,43830,68075,74258,186163,43830,68075,74258,186163,372326,
2287,4094,1531,4397,10022,4094,1531,4397,10022,20044,
1404,165701,211419,531889,909009,165701,211419,531889,909009,1818018,
3000,26777,26792,121249,174818,26777,26792,121249,174818,349636,
1036,5540,6182,14821,26543,5540,6182,14821,26543,53086,
9310,3755,6197,2148,12100,3755,6197,2148,12100,24200,
5550,65833,47100,69946,182879,65833,47100,69946,182879,365758,
5160,2812,4604,8607,16023,2812,4604,8607,16023,32046,
2939,4149,3427,835,8411,4149,3427,835,8411,16822,
2641,25660,13418,15911,54989,25660,13418,15911,54989,109978,
8353,53499,28878,46566,128943,53499,28878,46566,128943,257886,
2255,105316,143159,102714,351189,105316,143159,102714,351189,702378,
2350,150747,213200,116439,480386,150747,213200,116439,480386,960772,
2125,169452,251752,152444,573648,169452,251752,152444,573648,1147296,
9695,21041,21777,12264,55082,21041,21777,12264,55082,110164,
9759,180334,171314,227673,579321,180334,171314,227673,579321,1158642,
5132,79042,71892,308003,458937,79042,71892,308003,458937,917874,
4614,17365,17680,17406,52451,17365,17680,17406,52451,104902,
2760,40346,44011,25175,109532,40346,44011,25175,109532,219064,
3145,7760,12247,11885,31892,7760,12247,11885,31892,63784,
5623,218506,288111,228221,734838,218506,288111,228221,734838,1469676,147888.6678
5280,19915,36645,39206,95766,19915,36645,39206,95766,191532,
6025,121872,133837,322939,578648,121872,133837,322939,578648,1157296,56080.8035
9905,40121,30659,20333,91113,40121,30659,20333,91113,182226,
9861,51663,57398,65148,174209,51663,57398,65148,174209,348418,
1805,46913,43277,15818,106008,46913,43277,15818,106008,212016,
7520,20327,2736,8752,31815,20327,2736,8752,31815,63630,
9883,50199,114030,36346,200575,50199,114030,36346,200575,401150,
8605,8353,2251,2145,12749,8353,2251,2145,12749,25498,
7787,47254,60433,20401,128088,47254,60433,20401,128088,256176,1529.3753
6847,5367,5054,18946,29367,5367,5054,18946,29367,58734,
1223,26103,10201,6400,42704,26103,10201,6400,42704,85408,
6869,3832,3175,11499,18506,3832,3175,11499,18506,37012,
6532,1249,2408,991,4648,1249,2408,991,4648,9296,
8606,109,10,0,119,109,10,0,119,238,
5544,80217,112809,165559,358585,80217,112809,165559,358585,717170,
2806,51734,79592,99994,231320,51734,79592,99994,231320,462640,2.6732
1198,32792,14698,33206,80696,32792,14698,33206,80696,161392,
1678,6016,11820,2140,19976,6016,11820,2140,19976,39952,
5250,5482,14997,10255,30734,5482,14997,10255,30734,61468,
506,305124,320580,266300,892004,305124,320580,266300,892004,1784008,
4236,5906,3083,457,9446,5906,3083,457,9446,18892,
6358,1187,299,535,2021,1187,299,535,2021,4042,
9965,94425,40149,189017,323591,94425,40149,189017,323591,647182,
5510,114254,216490,236906,567650,114254,216490,236906,567650,1135300,1049.5451
5397,70660,100702,142963,314325,70660,100702,142963,314325,628650,
6909,3745,1736,8639,14120,3745,1736,8639,14120,28240,
5267,75269,199488,134987,409744,75269,199488,134987,409744,819488,
9451,6791,55193,1369,63353,6791,55193,1369,63353,126706,
9972,202162,160893,188599,551654,202162,160893,188599,551654,1103308,
2662,11772,6469,2518,20759,11772,6469,2518,20759,41518,
2052,28139,4035,2268,34442,28139,4035,2268,34442,68884,
5003,3829,5519,6324,15672,3829,5519,6324,15672,31344,
3109,1042,2171,673,3886,1042,2171,673,3886,7772,
2396,18578,76407,23713,118698,18578,76407,23713,118698,237396,
1430,52717,71706,89532,213955,52717,71706,89532,213955,427910,
9079,69877,87416,42153,199446,69877,87416,42153,199446,398892,187.6791
8613,3571,869,5,4445,3571,869,5,4445,8890,
9962,846,284,0,1130,846,284,0,1130,2260,
9453,31812,17509,7611,56932,31812,17509,7611,56932,113864,
9569,32607,38101,46904,117612,32607,38101,46904,117612,235224,252.3659
9455,2916,3254,4126,10296,2916,3254,4126,10296,20592,
2960,111,99,82,292,111,99,82,292,584,
9961,221475,240966,135793,598234,221475,240966,135793,598234,1196468,
8821,2503,1260,0,3763,2503,1260,0,3763,7526,
6171,61093,72380,118250,251723,61093,72380,118250,251723,503446,
990,21627,20251,21166,63044,21627,20251,21166,63044,126088,
2054,3918,581,278,4777,3918,581,278,4777,9554,
1963,25999,18283,6931,51213,25999,18283,6931,51213,102426,
8045,334,527,881,1742,334,527,881,1742,3484,
9963,2883,1867,23,4773,2883,1867,23,4773,9546,
5251,21320,75353,47703,144376,21320,75353,47703,144376,288752,
5666,190570,250104,129567,570241,190570,250104,129567,570241,1140482,299477.3694
3003,873,155,323,1351,873,155,323,1351,2702,
5641,37191,43458,55927,136576,37191,43458,55927,136576,273152,37291.4229
5547,55258,64479,106281,226018,55258,64479,106281,226018,452036,139899.128
2941,9143,16558,17352,43053,9143,16558,17352,43053,86106,
4700,13589,15176,8319,37084,13589,15176,8319,37084,74168,
9953,15900,14567,4371,34838,15900,14567,4371,34838,69676,
5667,118052,115236,246209,479497,118052,115236,246209,479497,958994,
5004,286034,625616,743767,1655417,286034,625616,743767,1655417,3310834,753879.789999999
2850,1060,1488,790,3338,1060,1488,790,3338,6676,
5347,153832,157400,277052,588284,153832,157400,277052,588284,1176568,
2790,39465,162321,88895,290681,39465,162321,88895,290681,581362,
5398,2531,4155,5530,12216,2531,4155,5530,12216,24432,
5906,14001,15273,22547,51821,14001,15273,22547,51821,103642,
6083,15579,8868,40651,65098,15579,8868,40651,65098,130196,
1953,19932,611,10762,31305,19932,611,10762,31305,62610,
6233,3498,2568,1890,7956,3498,2568,1890,7956,15912,
2095,9516,2765,2758,15039,9516,2765,2758,15039,30078,
1380,1348,2682,2192,6222,1348,2682,2192,6222,12444,
1004,43072,86119,93391,222582,43072,86119,93391,222582,445164,48243.9609
1074,20537,12670,5575,38782,20537,12670,5575,38782,77564,
2584,35034,89178,87817,212029,35034,89178,87817,212029,424058,
8608,407,77,0,484,407,77,0,484,968,
1624,25871,4071,9957,39899,25871,4071,9957,39899,79798,
