NLC,Entries_Full,Entries_Reduced,Entries_Season,Entries_Total,Exits_Full,Exits_Reduced,Exits_Season,Exits_Total,1415 Entries & Exits,1415 Interchanges
5131,332510,435776,891418,1659704,332510,435776,891418,1659704,3319408,0
3813,46815,3371,56087,106273,46815,3371,56087,106273,212546,0
3801,73186,6716,52827,132729,73186,6716,52827,132729,265458,40847.1439
3982,160625,19037,96302,275964,160625,19037,96302,275964,551928,0
8976,654309,891364,325650,1871323,654309,891364,325650,1871323,3742646,219002.4081
9090,19038,29191,16508,64737,19038,29191,16508,64737,129474,0
4435,14127,4215,0,18342,14127,4215,0,18342,36684,0
4440,116,47,0,163,116,47,0,163,326,0
3602,98339,66950,47238,212527,98339,66950,47238,212527,425054,0
2448,17417,15742,3662,36821,17417,15742,3662,36821,73642,0
4303,62398,89209,262,151869,62398,89209,262,151869,303738,0
2552,114204,33616,43519,191339,114204,33616,43519,191339,382678,0
8600,204,37,0,241,204,37,0,241,482,0
8601,1049,812,0,1861,1049,812,0,1861,3722,0
8602,278,112,10,400,278,112,10,400,800,0
7662,90,13,0,103,90,13,0,103,206,0
7286,7490,12492,4056,24038,7490,12492,4056,24038,48076,0
4529,52862,71545,89333,213740,52862,71545,89333,213740,427480,0
2287,5238,2258,1247,8743,5238,2258,1247,8743,17486,0
1404,241943,326388,901968,1470299,241943,326388,901968,1470299,2940598,0
3000,34169,34820,158064,227053,34169,34820,158064,227053,454106,0
1036,5648,6405,17567,29620,5648,6405,17567,29620,59240,0
9310,3249,5536,2322,11107,3249,5536,2322,11107,22214,0
5550,72456,51996,78943,203395,72456,51996,78943,203395,406790,0
5160,2849,3737,4601,11187,2849,3737,4601,11187,22374,0
2939,5106,4617,1864,11587,5106,4617,1864,11587,23174,0
2641,22808,14184,18459,55451,22808,14184,18459,55451,110902,0
8353,50604,25411,20965,96980,50604,25411,20965,96980,193960,0
2255,93374,138581,141437,373392,93374,138581,141437,373392,746784,0
2350,127859,260452,103618,491929,127859,260452,103618,491929,983858,0
2125,148293,167740,226141,542174,148293,167740,226141,542174,1084348,0
9695,19358,29073,11133,59564,19358,29073,11133,59564,119128,0
9759,126490,247075,178530,552095,126490,247075,178530,552095,1104190,0
5132,100475,104204,319486,524165,100475,104204,319486,524165,1048330,0
4614,11672,14736,18297,44705,11672,14736,18297,44705,89410,0
2760,45630,44140,27317,117087,45630,44140,27317,117087,234174,0
3145,9012,15084,13327,37423,9012,15084,13327,37423,74846,0
5623,212310,280898,223917,717125,212310,280898,223917,717125,1434250,140503.853
5280,24634,48572,40396,113602,24634,48572,40396,113602,227204,0
6025,168810,200905,340211,709926,168810,200905,340211,709926,1419852,43894.7462
9905,40334,54797,41104,136235,40334,54797,41104,136235,272470,0
9861,41089,72144,66704,179937,41089,72144,66704,179937,359874,0
1805,56291,57546,21012,134849,56291,57546,21012,134849,269698,0
7520,20430,3064,6164,29658,20430,3064,6164,29658,59316,0
9883,49647,112652,38902,201201,49647,112652,38902,201201,402402,0
8605,8870,2382,1715,12967,8870,2382,1715,12967,25934,0
7787,54425,76196,21931,152552,54425,76196,21931,152552,305104,1403.5782
6847,5473,6889,18687,31049,5473,6889,18687,31049,62098,0
1223,27826,12352,7968,48146,27826,12352,7968,48146,96292,0
6869,4793,4982,12898,22673,4793,4982,12898,22673,45346,0
6532,1575,3124,344,5043,1575,3124,344,5043,10086,0
8606,105,15,0,120,105,15,0,120,240,0
5544,85118,125549,161402,372069,85118,125549,161402,372069,744138,0
2806,41689,69673,92556,203918,41689,69673,92556,203918,407836,70.2854
1198,24280,10389,37743,72412,24280,10389,37743,72412,144824,0
1678,6682,10434,2445,19561,6682,10434,2445,19561,39122,0
5250,5094,15368,8728,29190,5094,15368,8728,29190,58380,0
506,387878,403753,275358,1066989,387878,403753,275358,1066989,2133978,0
4236,6203,3757,159,10119,6203,3757,159,10119,20238,0
6358,2350,343,2262,4955,2350,343,2262,4955,9910,0
9965,77101,56485,183248,316834,77101,56485,183248,316834,633668,0
5510,113680,247366,227991,589037,113680,247366,227991,589037,1178074,1207.3877
5397,103394,141364,135487,380245,103394,141364,135487,380245,760490,0
6909,4620,1867,36398,42885,4620,1867,36398,42885,85770,0
5267,70558,222486,148196,441240,70558,222486,148196,441240,882480,0
9451,7145,54908,1350,63403,7145,54908,1350,63403,126806,0
9972,165619,233678,167224,566521,165619,233678,167224,566521,1133042,0
2662,10241,5970,2186,18397,10241,5970,2186,18397,36794,0
2052,24623,3249,667,28539,24623,3249,667,28539,57078,2.6586
5003,3273,6505,8954,18732,3273,6505,8954,18732,37464,0
3109,986,1873,1010,3869,986,1873,1010,3869,7738,0
2396,19046,69765,32706,121517,19046,69765,32706,121517,243034,0
1430,66483,76792,111957,255232,66483,76792,111957,255232,510464,0
9079,69538,87044,39915,196497,69538,87044,39915,196497,392994,799.6224
8613,3230,658,320,4208,3230,658,320,4208,8416,0
9962,1077,1460,0,2537,1077,1460,0,2537,5074,0
9453,35167,29586,138,64891,35167,29586,138,64891,129782,0
9569,25290,51888,32415,109593,25290,51888,32415,109593,219186,371.724
9455,2453,5137,3361,10951,2453,5137,3361,10951,21902,0
2960,138,102,31,271,138,102,31,271,542,0
9961,163848,385536,169814,719198,163848,385536,169814,719198,1438396,0
8821,2178,1620,0,3798,2178,1620,0,3798,7596,0
6171,77201,103982,132415,313598,77201,103982,132415,313598,627196,0
990,25703,34703,32761,93167,25703,34703,32761,93167,186334,0
2054,3367,434,92,3893,3367,434,92,3893,7786,0
1963,28434,21270,7341,57045,28434,21270,7341,57045,114090,0
8045,149,395,444,988,149,395,444,988,1976,0
9963,4239,2171,399,6809,4239,2171,399,6809,13618,0
5251,19496,78135,54599,152230,19496,78135,54599,152230,304460,0
5666,201823,287585,123467,612875,201823,287585,123467,612875,1225750,318851.6997
3003,1519,74,420,2013,1519,74,420,2013,4026,0
5641,37530,45092,61653,144275,37530,45092,61653,144275,288550,31889.4855
5547,57046,63061,117124,237231,57046,63061,117124,237231,474462,136286.4348
2941,11996,14834,18921,45751,11996,14834,18921,45751,91502,0
4700,16112,17263,10317,43692,16112,17263,10317,43692,87384,0
9953,11924,22158,6153,40235,11924,22158,6153,40235,80470,0
5667,125728,127954,268312,521994,125728,127954,268312,521994,1043988,0
5004,287399,735457,784539,1807395,287399,735457,784539,1807395,3614790,834962.791500003
2850,1268,1502,411,3181,1268,1502,411,3181,6362,0
5347,159492,177233,311492,648217,159492,177233,311492,648217,1296434,0
2790,39190,94839,55992,190021,39190,94839,55992,190021,380042,0
5398,2235,4462,5065,11762,2235,4462,5065,11762,23524,0
5906,14386,18891,28789,62066,14386,18891,28789,62066,124132,0
6083,15223,12103,41993,69319,15223,12103,41993,69319,138638,0
1953,18799,511,12516,31826,18799,511,12516,31826,63652,0
6233,3891,3876,3346,11113,3891,3876,3346,11113,22226,0
2095,8533,3219,2089,13841,8533,3219,2089,13841,27682,0
1380,862,2001,2180,5043,862,2001,2180,5043,10086,0
1004,50192,84588,109958,244738,50192,84588,109958,244738,489476,48372.9661
1074,26856,21714,11812,60382,26856,21714,11812,60382,120764,0
2584,39308,78493,103114,220915,39308,78493,103114,220915,441830,0
8608,217,175,0,392,217,175,0,392,784,0
1624,35822,5870,14574,56266,35822,5870,14574,56266,112532,0
7367,23717,34729,18468,76914,23717,34729,18468,76914,153828,0
9457,10194,15257,5878,31329,10194,15257,5878,31329,62658,0
7017,78387,142767,218219,439373,78387,142767,218219,439373,878746,6887.0483
2215,21704,40689,29277,91670,21704,40689,29277,91670,183340,0
8610,29534,43029,2799,75362,29534,43029,2799,75362,150724,37.0872
3265,4985,4253,478,9716,4985,4253,478,9716,19432,0
3200,41873,4204,13885,59962,41873,4204,13885,59962,119924,0
5714,19324,123118,50671,193113,19324,123118,50671,193113,386226,0
1492,158271,191377,217463,567111,158271,191377,217463,567111,1134222,3688.9591
1090,12981,15434,35907,64322,12981,15434,35907,64322,128644,0
5162,18579,14849,24525,57953,18579,14849,24525,57953,115906,0
5197,11974,17217,11223,40414,11974,17217,11223,40414,80828,0
9463,227417,403371,155303,786091,227417,403371,155303,786091,1572182,50473.8852
2187,66306,94072,23740,184118,66306,94072,23740,184118,368236,0
4186,6981,2338,4436,13755,6981,2338,4436,13755,27510,0
5681,30545,25398,27505,83448,30545,25398,27505,83448,166896,0
8552,51984,29507,43932,125423,51984,29507,43932,125423,250846,0
9763,17934,23753,14748,56435,17934,23753,14748,56435,112870,0
5492,11534,21356,31480,64370,11534,21356,31480,64370,128740,0
6084,82063,107926,121960,311949,82063,107926,121960,311949,623898,0
5399,780875,1239687,1801337,3821899,780875,1239687,1801337,3821899,7643798,372421.2855
9862,65283,146852,64668,276803,65283,146852,64668,276803,553606,0
9013,100,20,426,546,100,20,426,546,1092,0
2561,26471,5690,9425,41586,26471,5690,9425,41586,83172,0
2820,6631,6679,1004,14314,6631,6679,1004,14314,28628,0
8839,1322,1637,0,2959,1322,1637,0,2959,5918,0
4502,281505,551373,335548,1168426,281505,551373,335548,1168426,2336852,362072.337299999
2471,100228,212113,23044,335385,100228,212113,23044,335385,670770,1510.5917
2238,20158,36832,22729,79719,20158,36832,22729,79719,159438,0
5348,23593,17952,27788,69333,23593,17952,27788,69333,138666,0
9466,21761,35726,25668,83155,21761,35726,25668,83155,166310,0
7563,1870,2321,473,4664,1870,2321,473,4664,9328,0
2690,55856,6924,29135,91915,55856,6924,29135,91915,183830,0
9764,12964,17355,12615,42934,12964,17355,12615,42934,85868,0
4011,68774,6651,35722,111147,68774,6651,35722,111147,222294,0
7492,1312501,2030518,1494487,4837506,1312501,2030518,1494487,4837506,9675012,649314.0786
5133,17107,17621,30235,64963,17107,17621,30235,64963,129926,0
4445,59553,17486,9597,86636,59553,17486,9597,86636,173272,0
5089,143022,240130,505749,888901,143022,240130,505749,888901,1777802,0
5551,288410,342746,512013,1143169,288410,342746,512013,1143169,2286338,31473.0147
5580,119429,122803,139712,381944,119429,122803,139712,381944,763888,0
6406,6574,22773,4274,33621,6574,22773,4274,33621,67242,4309.0856
5252,78225,176722,252880,507827,78225,176722,252880,507827,1015654,922345.978299999
9973,11770,14887,9851,36508,11770,14887,9851,36508,73016,0
6774,249821,302354,198845,751020,249821,302354,198845,751020,1502040,23980.5899
5725,10122,175589,27986,213697,10122,175589,27986,213697,427394,0
1096,40400,28569,56661,125630,40400,28569,56661,125630,251260,36517.1109
9674,81759,123096,135281,340136,81759,123096,135281,340136,680272,0
9467,1708,3800,0,5508,1708,3800,0,5508,11016,0
6212,750,69,0,819,750,69,0,819,1638,0
1954,162083,105744,57085,324912,162083,105744,57085,324912,649824,14520.9959
1903,14267,12487,19751,46505,14267,12487,19751,46505,93010,0
3805,149769,20003,95793,265565,149769,20003,95793,265565,531130,3237.7184
3806,67799,5664,29150,102613,67799,5664,29150,102613,205226,0
3807,130196,20996,152910,304102,130196,20996,152910,304102,608204,0
9020,30,0,0,30,30,0,0,30,60,0
6207,18160,2528,1195,21883,18160,2528,1195,21883,43766,0
7494,411259,343011,650786,1405056,411259,343011,650786,1405056,2810112,0
5520,585717,1077508,1117482,2780707,585717,1077508,1117482,2780707,5561414,863027.5585
5090,11562,11439,18932,41933,11562,11439,18932,41933,83866,0
3271,623525,1930218,557320,3111063,623525,1930218,557320,3111063,6222126,193605.0763
9311,158091,241137,189029,588257,158091,241137,189029,588257,1176514,0
8484,53961,56235,47429,157625,53961,56235,47429,157625,315250,0
7909,637,107,0,744,637,107,0,744,1488,0
5420,197943,234087,776577,1208607,197943,234087,776577,1208607,2417214,3758.0329
5215,49923,112380,104017,266320,49923,112380,104017,266320,532640,0
6870,2176,2881,2418,7475,2176,2881,2418,7475,14950,0
6006,7546,8812,8540,24898,7546,8812,8540,24898,49796,0
3047,213481,201701,364007,779189,213481,201701,364007,779189,1558378,0
2420,262,125,224,611,262,125,224,611,1222,0
9966,84134,118163,83064,285361,84134,118163,83064,285361,570722,0
5091,26221,61308,110891,198420,26221,61308,110891,198420,396840,0
8822,161,75,0,236,161,75,0,236,472,0
5890,1068,2167,955,4190,1068,2167,955,4190,8380,0
8877,13709,13577,1437,28723,13709,13577,1437,28723,57446,0
2188,202785,154967,102139,459891,202785,154967,102139,459891,919782,0
7258,13358,32857,6412,52627,13358,32857,6412,52627,105254,0
5076,45177,43896,80538,169611,45177,43896,80538,169611,339222,0
5046,300277,339604,757186,1397067,300277,339604,757186,1397067,2794134,88470.1383999999
1512,246214.486765603,851878.161821509,758573.899003863,1856666.54759097,246214.486765603,851878.161821509,758573.899003863,1856666.54759097,3713333.09518195,48198.0234
1510,11483.5132343972,39731.8381784916,35380.1009961374,86595.4524090262,11483.5132343972,39731.8381784916,35380.1009961374,86595.4524090262,173190.904818052,0
5538,21267,18230,28979,68476,21267,18230,28979,68476,136952,0
3245,21242,12942,9587,43771,21242,12942,9587,43771,87542,0
1165,26789,3899,8126,38814,26789,3899,8126,38814,77628,0
3070,7534,32406,17964,57904,7534,32406,17964,57904,115808,0
1625,158340,96888,49623,304851,158340,96888,49623,304851,609702,85291.9903999998
5198,4256,6147,4487,14890,4256,6147,4487,14890,29780,0
2785,816,3199,725,4740,816,3199,725,4740,9480,0
9895,97264,141891,81974,321129,97264,141891,81974,321129,642258,38365.3108
5062,73770,77849,246210,397829,73770,77849,246210,397829,795658,0
9714,90889,147410,192037,430336,90889,147410,192037,430336,860672,47373.0976
5350,22186,12738,40827,75751,22186,12738,40827,75751,151502,0
1679,31846,48173,25001,105020,31846,48173,25001,105020,210040,706.0486
5227,1692,1353,3706,6751,1692,1353,3706,6751,13502,0
5092,105842,139457,208121,453420,105842,139457,208121,453420,906840,0
8047,2685,1978,1073,5736,2685,1978,1073,5736,11472,0
8564,38269,40977,25925,105171,38269,40977,25925,105171,210342,0
7439,434342,354922,921359,1710623,434342,354922,921359,1710623,3421246,0
2676,9405,1985,26,11416,9405,1985,26,11416,22832,0
5624,15259,14360,45810,75429,15259,14360,45810,75429,150858,0
8352,34756,13415,17482,65653,34756,13415,17482,65653,131306,0
3549,1334,11424,5783,18541,1334,11424,5783,18541,37082,0
3550,560,5231,2638,8429,560,5231,2638,8429,16858,0
1390,228201,279338,332311,839850,228201,279338,332311,839850,1679700,0
1045,27018,35604,69624,132246,27018,35604,69624,132246,264492,0
7330,391,270,37,698,391,270,37,698,1396,0
8431,5507,6630,3391,15528,5507,6630,3391,15528,31056,0
5581,47673,60412,94846,202931,47673,60412,94846,202931,405862,0
5323,6295,19641,12737,38673,6295,19641,12737,38673,77346,0
7791,15917,230459,22879,269255,15917,230459,22879,269255,538510,1339.085
2351,418,1034,15,1467,418,1034,15,1467,2934,0
1003,10685,23715,33820,68220,10685,23715,33820,68220,136440,0
5472,1903,2291,4029,8223,1903,2291,4029,8223,16446,0
6961,100232,141952,209602,451786,100232,141952,209602,451786,903572,0
2449,11629,8909,204,20742,11629,8909,204,20742,41484,0
8048,58779,148537,96908,304224,58779,148537,96908,304224,608448,10.3056
5211,90666,252404,411705,754775,90666,252404,411705,754775,1509550,0
5093,134887,188706,372129,695722,134887,188706,372129,695722,1391444,0
5094,297405,371650,984577,1653632,297405,371650,984577,1653632,3307264,0
3048,144811,448516,254874,848201,144811,448516,254874,848201,1696402,0
3104,4195,31229,8796,44220,4195,31229,8796,44220,88440,0
5063,118624,124017,232055,474696,118624,124017,232055,474696,949392,1304.4857
2136,61700,52906,45991,160597,61700,52906,45991,160597,321194,92813.9941
6170,102189,162847,206643,471679,102189,162847,206643,471679,943358,0
4618,15953,11528,29194,56675,15953,11528,29194,56675,113350,0
6871,246527,332196,974652,1553375,246527,332196,974652,1553375,3106750,0
7910,23251,8269,6470,37990,23251,8269,6470,37990,75980,0
5464,40419,84887,123456,248762,40419,84887,123456,248762,497524,0
6235,9034,12309,4546,25889,9034,12309,4546,25889,51778,0
8553,198057,222080,192069,612206,198057,222080,192069,612206,1224412,0
3907,12518,1125,9150,22793,12518,1125,9150,22793,45586,0
5163,15629,35345,111363,162337,15629,35345,111363,162337,324674,0
2304,147719,90151,105464,343334,147719,90151,105464,343334,686668,0
5401,18060,13512,20266,51838,18060,13512,20266,51838,103676,0
2352,84566,285116,107705,477387,84566,285116,107705,477387,954774,0
2217,201399,207895,122168,531462,201399,207895,122168,531462,1062924,0
2219,219337,406360,235813,861510,219337,406360,235813,861510,1723020,245424.6216
2145,184686,106524,80792,372002,184686,106524,80792,372002,744004,64990.8728
2220,180276,134805,77702,392783,180276,134805,77702,392783,785566,0
4513,413,4774,632,5819,413,4774,632,5819,11638,0
1215,702065,1158809,703522,2564396,702065,1158809,703522,2564396,5128792,81666.7362
4515,646192,1278488,1335956,3260636,646192,1278488,1335956,3260636,6521272,421290.9765
1127,3335594,6848276,7472524,17656394,3335594,6848276,7472524,17656394,35312788,5379133.46330003
1006,353703,681763,1233588,2269054,353703,681763,1233588,2269054,4538108,239371.9419
7835,35441,13316,5226,53983,35441,13316,5226,53983,107966,0
9940,98268,239835,80089,418192,98268,239835,80089,418192,836384,0
6800,310979,432134,771992,1515105,310979,432134,771992,1515105,3030210,85713.6339
5402,3655,9951,1861,15467,3655,9951,1861,15467,30934,0
9620,68311,110746,137623,316680,68311,110746,137623,316680,633360,0
5945,18638,16130,17283,52051,18638,16130,17283,52051,104102,0
2737,336255,167621,128311,632187,336255,167621,128311,632187,1264374,94168.2334
5112,1305279,1259641,5009592,7574512,1305279,1259641,5009592,7574512,15149024,1199416.117
5095,359381,451134,802536,1613051,359381,451134,802536,1613051,3226102,17584.1351
7400,186482,312029,52307,550818,186482,312029,52307,550818,1101636,0
2739,356096,469309,53366,878771,356096,469309,53366,878771,1757542,2771.348
2738,21489,31860,1237,54586,21489,31860,1237,54586,109172,0
2740,38915,22676,4126,65717,38915,22676,4126,65717,131434,58.0828
991,8503,10019,7213,25735,8503,10019,7213,25735,51470,0
2732,17868,17915,237023,272806,17868,17915,237023,272806,545612,0
5625,62049,119861,71739,253649,62049,119861,71739,253649,507298,0
2450,10261,13397,175,23833,10261,13397,175,23833,47666,0
8750,2612,5218,201,8031,2612,5218,201,8031,16062,0
9760,50875,82568,91406,224849,50875,82568,91406,224849,449698,0
1176,46968,44754,80274,171996,46968,44754,80274,171996,343992,0
4574,10050,5133,30666,45849,10050,5133,30666,45849,91698,0
9716,70262,123846,117421,311529,70262,123846,117421,311529,623058,0
7503,1887,1149,2904,5940,1887,1149,2904,5940,11880,0
6204,1862,247,160,2269,1862,247,160,2269,4538,0
1360,63171,184143,247145,494459,63171,184143,247145,494459,988918,85134.0127
1141,9830,10125,137,20092,9830,10125,137,20092,40184,0
1018,10342,9926,204,20472,10342,9926,204,20472,40944,0
2123,164547,352661,167617,684825,164547,352661,167617,684825,1369650,0
1282,18669,12953,7613,39235,18669,12953,7613,39235,78470,0
3501,7668,99201,12019,118888,7668,99201,12019,118888,237776,0
2435,1836,923,80,2839,1836,923,80,2839,5678,0
5253,101626,315818,200953,618397,101626,315818,200953,618397,1236794,0
9668,5142,5598,8488,19228,5142,5598,8488,19228,38456,0
